123,Hello,15,12.50,0.00
345,Bye,15,10.00,3.50
346,Bye,15,10.00,3.50
347,Bye,15,10.00,3.50
348,Bye,15,10.00,3.50
349,Bye,15,10.00,3.50
350,Bye,15,10.00,3.50
351,Bye,15,10.00,3.50
357,Bye,15,10.00,3.50
411,New Name!,12,10.00,0.00
363,Edited,15,10.00,3.50
375,Bye,15,10.00,3.50
390,Something,15,10.00,3.50
525,Bye,15,10.00,3.50
570,Bye,15,10.00,3.50
358,Bye,15,10.00,3.50
384,Bye,15,10.00,3.50
397,Bye,15,10.00,3.50
410,Bye,15,10.00,3.50
423,Bye,15,10.00,3.50
436,Bye,15,10.00,3.50
449,Bye,15,10.00,3.50
462,Bye,15,10.00,3.50
757,Bye,15,10.00,3.50
1169,Hi,15,10.00,3.50
512310,Jeez,5,15.00,24.00
17,NEWITEM,61,3.10,2.00
51231,Leaky Faucet,612,5.00,2.30
